,$rt_add,$rt_concatRope,$rt_div,$rt_eq,$rt_extArrTbl,$rt_getProp,$rt_gt,$rt_hasOwnProp,$rt_in,$rt_instanceof,$rt_intToStr,$rt_lt,$rt_mod,$rt_ns,$rt_numToStr,$rt_objGetProp,$rt_objSetProp,$rt_se,$rt_setArrElem,$rt_setArrLength,$rt_setProp,$rt_strToInt,$rt_strcat,$rt_toInt32,$rt_toNumber,$rt_toPrim,$rt_toString,$rt_toUint32,$rt_typeof,1 versions,2 versions,3 versions,4 versions,5 versions,code size (bytes),comp time (ms),exec time (ms),gc time (ms),involuntary context sw,is_array,is_closure,is_const,is_float64,is_int32,is_int64,is_object,is_rawptr,is_refptr,is_rope,is_string,max versions,num blocks,num call apply,num call fast,num call slow,num get prop,num get prop cache upd,num get prop host,num heap allocs,num set prop,num set prop cache upd,num set prop host,num shape flips,num shape known,num shape tests,num shapes,num versions,page faults,page reclaims,peak mem usage (KB),total prim calls,total time (ms),total type tests,voluntary context sw,wall time (ms)
spectral-norm,0,0,122240,0,67,1,0,712,332,0,0,0,0,6,0,1,28,85,270,1,29,0,0,0,0,0,76,0,0,3416,155,21,33,1,454265,416,16,0,2,632,123598,517,489556,615391,0,2319,0,196,92,910,5,3626,0,0,122819,124330,535,1,541,650,384,126,0,0,0,1108,3926,0,66784,265648,123848,433,1233211,0,566
richards,0,0,0,28760,2,1,0,712,332,0,0,0,0,6,0,1,28,85,1,1,29,0,0,0,9,0,76,9,0,4950,171,13,2,0,627952,475,15,0,1,5508,41494,34161,76,113279,0,148342,0,73909,92,910,4,5136,0,0,40672,285438,851,1,507,51408,526,134,0,0,0,1193,5339,0,71880,285760,30052,491,417771,0,628
bitwise-and,0,0,0,0,1,1,0,712,332,0,0,0,0,6,0,1,28,85,0,1,29,0,0,2,2,0,76,0,0,3285,92,13,0,0,436810,401,29,0,2,312,950,517,77,2400306,0,2315,0,196,92,910,3,3390,0,0,171,2401666,521,1,451,1200642,381,126,0,0,0,1104,3508,0,65379,260068,1276,430,2405675,0,562
fannkuch,240,0,0,173842,1,481,0,712,332,240,240,0,0,6,240,241,28,85,0,1,29,0,0,0,4,0,76,4,0,3359,196,63,23,1,456556,428,24,0,1,796,2635,757,526,721481,0,3275,0,196,542,2110,5,3642,0,0,896,3111,528,241,939,643,380,126,0,0,0,1105,4037,0,66920,266152,176802,453,732318,0,587
crypto-sha1,44,24,0,0,14,1,0,712,332,0,0,0,0,7,0,1,28,175,2466,1,29,0,20,110,125,40,99,15,0,3679,281,13,15,34,509135,445,15,0,3,342,120772,622,290,339388,0,2339,0,300,9996,10981,5,4022,0,0,119969,160910,594,1,578,671,402,126,0,0,0,1125,4510,0,69038,274284,4243,460,485030,0,595
v8-raytrace,1,1,4,10155,9,27,0,712,332,1,0,0,1168,10,0,22,46,496,8,1,47,2,0,20,44,0,76,20,31,7425,532,248,109,20,1095247,703,68,0,2,94107,391711,399373,484894,482919,0,948380,0,350025,102,27161,6,8398,66596,0,225784,1323802,1859,22,200292,303059,652,176,0,0,0,1289,10153,0,83514,331688,13233,771,3178672,0,921
3bits-byte,0,0,0,0,1,1,0,712,332,0,0,0,0,6,0,1,28,85,0,1,29,0,0,0,0,0,76,0,0,3296,91,13,0,0,435829,402,13,0,1,312,128951,517,76,128302,0,2315,0,196,92,910,3,3400,0,0,128172,1667,519,1,451,642,379,126,0,0,0,1104,3517,0,65714,261168,1272,415,261671,0,548
earley-boyer,3,0,0,0,8,17,0,712,332,501660,3,0,0,385294,3,11,28,865729,10,1,29,0,0,0,106,0,76,106,36611,24698,535,109,24,34,3380090,5247,122,0,8,1108839,2005190,839480,36250,1418941,0,3981146,0,713198,466356,729970,6,25421,0,0,779937,3926051,5016,11,324299,755098,952,214,0,0,0,1636,26487,0,183085,713940,1790739,5369,11299370,0,5623
3d-cube,244,40,0,0,24590,1,0,712,332,0,204,0,0,9,0,1,2520,1509,31425,1,2521,2492,40,0,0,80,320,0,0,5573,550,31,36,21,672339,558,26,0,3,284055,49660,11018,207104,218673,0,51543,0,1503,1603,5725,6,6213,0,0,27630,100178,893,1,69834,11965,450,2626,0,0,0,1144,7027,0,74526,295936,67041,584,830884,0,726
nsieve,0,0,0,0,1,1,0,712,332,0,0,0,0,6,0,1,28,85,0,1,29,0,0,0,3,0,76,3,0,3315,105,13,0,0,438353,405,14,0,1,315,957,140514,76,314,0,2315,0,196,92,910,3,3433,0,0,178,1672,520,1,457,643,380,126,0,0,0,1105,3564,0,66044,262468,1278,419,145689,0,552
binary-trees,0,0,0,0,1,1,0,712,332,0,0,0,0,6,0,1,28,85,0,1,29,0,0,0,0,0,76,0,0,3523,106,13,0,0,464583,414,16,0,2,312,127171,63221,76,128199,0,212681,0,84340,92,910,3,3642,0,0,126391,341152,572,1,42523,128124,399,126,0,0,0,1118,3774,0,66496,264320,1272,430,617002,0,563
