,$rt_add,$rt_concatRope,$rt_div,$rt_eq,$rt_extArrTbl,$rt_getProp,$rt_gt,$rt_hasOwnProp,$rt_in,$rt_instanceof,$rt_intToStr,$rt_lt,$rt_mod,$rt_ns,$rt_numToStr,$rt_objGetProp,$rt_objSetProp,$rt_se,$rt_setArrElem,$rt_setArrLength,$rt_setProp,$rt_strToInt,$rt_strcat,$rt_toInt32,$rt_toNumber,$rt_toPrim,$rt_toString,$rt_toUint32,$rt_typeof,1 versions,10 versions,2 versions,3 versions,4 versions,5 versions,6 versions,7 versions,8 versions,9 versions,code size (bytes),comp time (ms),exec time (ms),gc time (ms),involuntary context sw,is_array,is_closure,is_const,is_float64,is_int32,is_int64,is_object,is_rawptr,is_refptr,is_rope,is_string,max versions,num blocks,num call apply,num call fast,num call slow,num get prop,num get prop cache upd,num get prop host,num heap allocs,num set prop,num set prop cache upd,num set prop host,num shape flips,num shape known,num shape tests,num shapes,num versions,page faults,page reclaims,peak mem usage (KB),total prim calls,total time (ms),total type tests,voluntary context sw,wall time (ms)
navier-stokes,0,0,2,3,2,1,0,712,332,0,0,0,0,6,0,1,28,196,1,1,29,0,0,196608,196628,2,76,18,0,4673,0,509,37,0,0,0,0,0,0,559332,561,43,0,2,229921,1463,544,3399188,2594119,0,2376,0,200,92,913,3,5219,0,0,669,2144,592,1,549,698,428,128,0,0,0,1146,5802,0,74619,296296,394646,605,6228816,0,746
nbody,0,0,0,0,1,1,0,712,332,1,0,0,2,7,0,1,28,87,0,1,29,0,0,0,0,0,76,0,1,4568,0,256,25,0,0,0,0,0,0,537779,493,23,0,1,94972,50619,546,1040873,658129,0,142141,0,4713,94,914,3,4849,0,0,49833,1141710,682,1,486,338334,426,128,0,0,0,1137,5155,0,71541,284324,1279,516,1993001,0,654
nsieve-bits,0,0,0,0,1,1,0,712,332,0,0,0,0,6,0,1,28,85,0,1,29,0,0,10002,10003,0,76,1,0,3360,0,114,13,0,0,0,0,0,0,440310,409,16,0,3,313,953,518,5077,598548,0,2316,0,196,92,910,3,3487,0,0,174,1669,521,1,454,643,380,126,0,0,0,1105,3627,0,66283,263560,21278,426,608923,0,558
cordic,0,0,0,0,1,1,0,712,332,2,0,0,4,8,0,1,28,89,0,1,29,0,0,300000,600000,0,76,300000,2,3942,0,131,13,0,0,0,0,0,0,485349,447,24,0,2,300320,76017,527,700184,1425439,0,2367,0,208,96,918,3,4086,0,0,75222,401748,576,1,459,667,394,130,0,0,0,1119,4243,0,69084,274516,1201286,471,2506076,0,606
splay,524506,0,8080,16239,16,1,0,712,332,0,0,0,0,6,8080,1,28,85,8001,1,29,0,0,145440,145440,0,8156,0,0,4406,0,218,24,0,0,0,0,0,0,564485,463,121,0,1,40635,717200,368925,1638859,2497600,0,987503,0,396986,258652,1321877,3,4648,0,0,659594,2102821,780,1,1568235,1497779,480,130,0,0,0,1155,4914,0,70988,282208,865153,584,8228237,0,721
spectral-norm,0,0,122240,0,67,1,0,712,332,0,0,0,0,6,0,1,28,85,270,1,29,0,0,0,0,0,76,0,0,3416,0,155,21,33,1,0,0,0,0,454265,418,16,0,2,632,123598,517,489556,615391,0,2319,0,196,92,910,5,3626,0,0,122819,124330,535,1,541,650,384,126,0,0,0,1108,3926,0,66785,265648,123848,435,1233211,0,569
richards,0,0,0,28760,2,1,0,712,332,0,0,0,0,6,0,1,28,85,1,1,29,0,0,0,9,0,76,9,0,4950,0,171,13,2,0,0,0,0,0,627952,475,15,0,2,5508,41494,34161,76,113279,0,148342,0,73909,92,910,4,5136,0,0,40672,285438,851,1,507,51408,526,134,0,0,0,1193,5339,0,71880,285760,30052,491,417771,0,628
bitwise-and,0,0,0,0,1,1,0,712,332,0,0,0,0,6,0,1,28,85,0,1,29,0,0,2,2,0,76,0,0,3285,0,92,13,0,0,0,0,0,0,436810,400,29,0,1,312,950,517,77,2400306,0,2315,0,196,92,910,3,3390,0,0,171,2401666,521,1,451,1200642,381,126,0,0,0,1104,3508,0,65378,260064,1276,430,2405675,0,562
fannkuch,240,0,0,173842,1,481,0,712,332,240,240,0,0,6,240,241,28,85,0,1,29,0,0,0,4,0,76,4,0,3359,0,196,63,23,1,0,0,0,0,456556,428,25,0,2,796,2635,757,526,721481,0,3275,0,196,542,2110,5,3642,0,0,896,3111,528,241,939,643,380,126,0,0,0,1105,4037,0,66920,266148,176802,453,732318,0,586
crypto-sha1,44,24,0,0,14,1,0,712,332,0,0,0,0,7,0,1,28,175,2466,1,29,0,20,110,125,40,99,15,0,3679,0,281,13,15,34,0,0,0,0,509135,446,15,0,2,342,120772,622,290,339388,0,2339,0,300,9996,10981,5,4022,0,0,119969,160910,594,1,578,671,402,126,0,0,0,1125,4510,0,69038,274284,4243,461,485030,0,597
v8-raytrace,1,1,4,10155,9,27,0,712,332,1,0,0,1168,10,0,22,46,496,8,1,47,2,0,20,44,0,76,20,31,7428,4,444,274,132,77,33,0,4,0,1115644,710,69,0,4,94107,391582,399373,484894,482480,0,945511,0,350025,102,27161,11,8398,66596,0,225784,1323802,1915,22,200292,303059,652,176,0,0,0,1289,10343,0,83747,332460,13233,779,3175235,0,930
3bits-byte,0,0,0,0,1,1,0,712,332,0,0,0,0,6,0,1,28,85,0,1,29,0,0,0,0,0,76,0,0,3296,0,91,13,0,0,0,0,0,0,435829,402,13,0,1,312,128951,517,76,128302,0,2315,0,196,92,910,3,3400,0,0,128172,1667,519,1,451,642,379,126,0,0,0,1104,3517,0,65714,261168,1272,415,261671,0,547
earley-boyer,3,0,0,0,8,17,0,712,332,501660,3,0,0,385294,3,11,28,865729,10,1,29,0,0,0,106,0,76,106,36611,24705,0,525,110,27,40,10,4,0,0,3379407,5236,122,0,7,1108690,2005190,839480,36250,1418838,0,3981132,0,713198,466356,729970,7,25421,0,0,779937,3926051,5016,11,324299,755098,952,214,0,0,0,1636,26481,0,183047,713708,1790739,5359,11299104,0,5612
3d-cube,244,40,0,0,24590,1,0,712,332,0,204,0,0,9,0,1,2520,1509,31425,1,2521,2492,40,0,0,80,320,0,0,5562,0,561,25,62,0,1,1,1,0,671666,559,26,0,2,274791,49660,11018,203412,214941,0,51543,0,1503,1603,5725,8,6213,0,0,27630,100178,893,1,69834,11965,450,2626,0,0,0,1144,7028,0,74514,295964,67041,585,814196,0,728
nsieve,0,0,0,0,1,1,0,712,332,0,0,0,0,6,0,1,28,85,0,1,29,0,0,0,3,0,76,3,0,3315,0,105,13,0,0,0,0,0,0,438353,405,14,0,4,315,957,140514,76,314,0,2315,0,196,92,910,3,3433,0,0,178,1672,520,1,457,643,380,126,0,0,0,1105,3564,0,66042,262464,1278,420,145689,0,552
binary-trees,0,0,0,0,1,1,0,712,332,0,0,0,0,6,0,1,28,85,0,1,29,0,0,0,0,0,76,0,0,3523,0,106,13,0,0,0,0,0,0,464583,412,15,0,2,312,127171,63221,76,128199,0,212681,0,84340,92,910,3,3642,0,0,126391,341152,572,1,42523,128124,399,126,0,0,0,1118,3774,0,66496,264316,1272,428,617002,0,560
